content,contentTranslation,languageInEnglish,preprocessed
I&#818;NT&#818;E&#818;S,(series of letters),Latin,i̲nt̲e̲s
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,
"&#12296;:in tabella ansata&#12297;
Persi",Of Persius(?) (following the conventions of bronze stamps with names in the genitive),Latin,", persi"
"Arma meis atsueta (:adsueta)
umeris tibi debita
ponam, si mea confir=
mas prospera vota
Venus. Syntrophus 
&#12296;:vacat&#12297; auget.","I will put (down) the weapons accustomed to my shoulders, (which are) owed to you, if you, favorable Venus, answer my prayers. --Syntrophus enhances/augments (this prayer)",Latin,"arma meis adsueta, umeris tibi debita, ponam, si mea confir=, mas prospera vota, venus. syntrophus , auget."
"[Noct]ibus pervig[ilans totis ego propter a]morem
[se]i (:si) detur dei&#7807;[am] (:divam) [posse videre meam.]
[congla]cio s[ub sideribus, sed pectus] in aestost 
[---] huc [---]t",,Latin,"noctibus pervigilans totis ego propter amorem, sesi detur deiṿam divam posse videre meam., conglacio sub sideribus, sed pectus in aestost , et huc properant"
A(uli) Iuni,Of Aulus Iunius (?),Latin,auli iuni
Virilio,(name?),Latin,virilio
Urbanu&#770;s,Urbanus,Latin,urbanûs
IIII,,Latin,iiii
+VSICZ,(Incomprehensible series of characters),Latin,vsicz
Acas&#818;t&#818;u&#818;s&#818;,Acastus,Latin,acas̲t̲u̲s̲
Valentis,of Valens,Latin,valentis
IIIX&#923;FELIX,,Latin,iiixλfelix
"Sex(tus) Decimius Rufus
milis (:miles) coh(ortis) V pr(aetorianae) ((centuria)) Martialis",,Latin,"sextus decimius rufus, miles cohortis v praetorianae centuria martialis"
"Sollemnes
ben&#7865; futues",,Latin,"sollemnes, benẹ futues"
Murtis (:Myrtis) felatris (:fellatrix),,Latin,myrtis fellatrix
"Lucrio
Amasuc+++
Sarnesis (:Sarnensis)",,Latin,"lucrio, amasuc, sarnensis"
"Victor 
&#7717;&#7841;ec so&#7771;+",,Latin,"victor , ḥạec soṛ"
Musicus qu[o]d bibere optat +lig+++e+ +,,Latin,musicus quod bibere optat lige 
"MVLIIRIANVS
VA  &#12296;:vacat&#12297; HVS
+VLLV
",(Incomprehensible series of letters),Latin,"mvliirianvs, va  hvs, vllv, "
"Staphìlus hic cum 
Quie&#803;t&#803;a&#803;",,Latin,"staphìlus hic cum , quiẹṭạ"
Suavis,"Suavis, i.e. a name (Sweet)",Latin,suavis
"Multa mihi cura&#770;e cum +esserit (:presserit?) artus
has ego mancinas stagna refusa dabo","When the weight of concern weighs down my limbs
I use this left hand to let the deep waters overflow",Latin,"multa mihi curâe cum presserit artus, has ego mancinas stagna refusa dabo"
Syneros,,Latin,syneros
"Caius cum Mysine
&#12314;+10+&#7806;&#12315;
etsi cum qua miserus",,Latin,"caius cum mysine, , etsi cum qua miserus"
"Anteros
EN (:bene?) hic",Anteros (was?) here,Latin,"anteros, bene hic"
"++++
Chloe v&#770;&#818;a&#818;(le)","Bye, Chloe",Latin,", chloe v̲̂a̲le"
CHA,CHA,Latin,cha
Roma,Rome,Latin,roma
C+++,(Incomprehensible series of characters),Latin,c
"Idibus Iulis
inaures postas (:positas) ad Faustilla(m)
pro ((denarium)) II usura(m) deduxit aeris a(ssem)
ex sum(ma?) XXX","On the Ides of July earrings were deposited with Faustilla (as collateral). For two denarii she is charging one copper as (per month, as interest). From a total? 30.",Latin,"idibus iulis, inaures positas ad faustillam, pro denarium ii usuram deduxit aeris assem, ex summa xxx"
Ìas Magno salute(m),,Latin,ìas magno salutem
"Victor
valea (:valeas) qui bene
futues (:futuis)",,Latin,"victor, valeas qui bene, futuis"
"&#7882;&#7909;&#7751;(iae) P&#803;rim&#7841;&#7865;
",,Latin,"ịụṇiae p̣rimạẹ, "
Amantes &#7806;&#7788;&#7882;&#7882;,,Latin,amantes ṿṭịị
clim,,Latin,clim
"O cu&#818;r&#818;a&#818;t&#818;o&#818;res Nuelas et Barnaee ne vos esset&#818;is&#818; vi&#818;re&#818;i&#818; (:viri) b&#818;o&#818;n&#818;e&#818;i&#818; (:boni) s&#818;e&#818;i&#818; (:si) c&#818;ommea&#818;tum O&#818;G&#818;I&#818;N&#818;T&#818;I&#818;T&#818;R&#818;A&#818;I&#818;[+1?+]+&#818;+&#818;
&#12296;:vacat&#12297; a&#818;d&#818; te&#818;mpus daretis na&#818;m semper&#818; n&#818;e&#818;g&#818;a&#818;t&#818;i&#818;s&#818; &#12296;:vacat&#12297; R&#818;E&#818;D&#818;X&#818;A&#818;E&#818; &#12296;:vacat&#12297; N&#818;
&#12296;:vacat&#12297; P&#818;a&#818;n&#818; ti&#818;bi&#818; [+2?+]D&#818;ECO et &#12296;:vacat&#12297; CA&#818;VDAN&#803;OS &#12296;:vacat&#12297; n&#818;u&#818;n&#818;[c] Q&#818;V&#818;[+1?+]M&#818;N&#818;E&#818; n&#818;u&#818;m&#818; +&#818;","Oh supervisors Nuelas and Barnaeus, you should have been good men. If supplies (incomprehensible series of letters) you were giving at the time. For you always deny (incomprehensible series of letters) Pan for you (incomprehensible series of letters) now (incomprehensible series of letters) whether",Latin,"o cu̲r̲a̲t̲o̲res nuelas et barnaee ne vos esset̲is̲ vi̲re̲i̲ viri b̲o̲n̲e̲i̲ boni s̲e̲i̲ si c̲ommea̲tum o̲g̲i̲n̲t̲i̲t̲r̲a̲i̲1̲̲, a̲d̲ te̲mpus daretis na̲m semper̲ n̲e̲g̲a̲t̲i̲s̲ r̲e̲d̲x̲a̲e̲ n̲, p̲a̲n̲ ti̲bi̲ 2d̲eco et ca̲vdaṇos n̲u̲n̲c q̲v̲1m̲n̲e̲ n̲u̲m̲ ̲"
Vidistiquo (:vidisti quo) Turnus equo q,,Latin,vidistiquo vidisti quo turnus equo q
Cum LV&#7684;,,Latin,cum lvḅ
Ianûariaes,,Latin,ianûariaes
"Avete ûtres sumus
Cot (:quod) estis (a)ere voluimus
Quando venistis (a)ere exi(vi)mus",,Latin,"avete ûtres sumus, quod estis aere voluimus, quando venistis aere exivimus"
Elencia (:&#7960;&#955;&#949;&#947;&#967;&#943;&#945;),Elencia (i.e. a name),Latin,elencia ἐλεγχία
"P(ondo?) XXIV
PRI
Mopsus","A weight of (?) 24, PRI, Mopsus",Latin,"pondo xxiv, pri, mopsus"
Acti Castresis (:Castrensis) va(le) Anicetia`ania´ne,,Latin,acti castrensis vale anicetia`ania´ne
"XII K(alendas) Ian(uarias)
Primus Felix
XI K&#803;(alendas)
G(ermanus)
X K(alendas) Felix
IX K(alendas) Felix
IIX K(alendas)
G(ermanus)
VII K(alendas) II[- - -]
G(ermanus)","Twelve days before the Kalends of January, Primus Felix. Eleven days before the Kalends (of January), Germanus. Ten days before the Kalends (of January) Felix. Nine days before the Kalends (of January), Felix. Eight days before the Kalends (of January), Germanus. Seven days before the Kalends (of January?), Germanus",Latin,"xii kalendas ianuarias, primus felix, xi ḳalendas, germanus, x kalendas felix, ix kalendas felix, iix kalendas, germanus, vii kalendas iiidus, germanus"
Albanus cinaedus est,Albanus is a pervert,Latin,albanus cinaedus est
((centuria)) Tironis&#818;,The century (unit) of Tiro,Latin,centuria tironis̲
Methe Cominiaes Atellana amat Chrestum corde [si]t utreis que (:utrisque)  Venus Pompeiana propitia [e]t sem[per] concordes veivant (:vivant),"Methe, a slave of Cominia, from the town of Atella, loves Chrestus. May Pompeian Venus be propitious in her heart to them both and may they always live harmoniously.",Latin,methe cominiaes atellana amat chrestum corde sit utreis utrisque venus pompeiana propitia et semper concordes vivant
"Voconius
Paca(tus)
vixillu(m) (:vexillum)","Voconius, Paca(tus), flag (?)",Latin,"voconius, pacatus, vixillum vexillum"
"&#7770;&#7864;INERS
ìnquid",,Latin,"ṛẹiners, ìnquid"
Carm,,Latin,carm
Restituta tuis choreis,,Latin,restituta tuis choreis
"Tertiani
Hic h&#803;a&#803;b&#818;ita[r]unt (:habitaverunt)
Rufa ita vale quare bene felas (:fellas)","The men of the third legion were here. Farewell, Rufa because you suck well.",Latin,"tertiani, hic ḥạb̲itarhabitaverunt, rufa ita vale quare bene fellas"
"&#12296;:stria 15&#12297;
Lib(eralis) 

&#12296;:stria 16&#12297;
Libera=
lis 
Liberalis 
venimus","Lib(eralis?), Liberalis, Liberalis, we came",Latin,", liberalis , , , libera=, lis , liberalis , venimus"
"Glagus
Gl","Glagus
Gl(agus)",Latin,"glagus, gl"
"Theorus est Holconi &#12296;:servus&#12297; nec tamen Mazgaba,
+++[.]s est Holconi &#12296;:servus&#12297;, nec tamen [P]yrrichus",,Latin,"theorus est holconi nec tamen mazgaba,, .s est holconi , nec tamen pyrrichus"
"&#12296;:columna I=stria 4&#12297;
QID

&#12296;:columna II=stria 5&#12297;
DA

&#12296;:columna III=stria 6&#12297;
CI&#923;
X
A

&#12296;:columna IV=stria 9&#12297;
M
Q&#818;",(Individual letters),Latin,", qid, , , da, , , ciλ, x, a, , , m, q̲"
"Hic ego puellas multas
futui",,Latin,"hic ego puellas multas, futui"
((centuria)) Semproni,The century (unit) of Sempronius,Latin,centuria semproni
QVETI,(Series of letters),Latin,qveti
"&#12296;:stria 14&#12297;
&#7746;&#770;A 

&#12296;:stria 15&#12297; 
R 

&#12296;:stria 16&#12297; 
E","MA, R, E",Latin,", ṃ̂a , , , r , , , e"
"Aristo
Tosori (:Tonsori?)
","Aristo, to the barber",Latin,"aristo, tonsori, "
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,
Chl · oe · va,"Bye, Chloe",Latin,chl · oe · va
"Anthus
Cosini (:Cossini) &#12296;:servus&#12297;
LIHSTI
ATOR","Anthus, slave of Cosinius (?), (...other letters here...)",Latin,"anthus, cossini , lihsti, ator"
Quovis,Wherever you wish,Latin,quovis
Memor,,Latin,memor
Roma,Rome,Latin,roma
VR,,Latin,vr
Faustus,Faustus,Latin,faustus
"Epaga=
thus fututor
II &#12296;:vacat&#12297; C ((:centuria?))",,Latin,"epaga=, thus fututor, ii c centuria"
"Livius
Verus
X",Livius Verus 10,Latin,"livius, verus, x"
III K(alendas) Mart(is) hic scr(ipsi),"3 days before the Kalends of March (=Feb. 27th), I wrote here",Latin,iii kalendas martis hic scripsi
"&#12296;:ad perpendiculum&#12297;
V&#770;BB",VBB,Latin,", v̂bb"
Ur(banus?),Ur(banus),Latin,urbanus
XVI,16,Latin,xvi
ALO,ALO,Latin,alo
"Priscus caelator
Campano
gemmario
FEL (:feliciter)",,Latin,"priscus caelator, campano, gemmario, feliciter"
Va&#818;l&#818;(ens?),Val(ens?),Latin,va̲l̲ens
"&#12296;:ad perpendiculum&#12297;
F&#803;l&#803;or&#803;u&#803;(s)",Florus (?),Latin,", f̣ḷoṛụs"
IIIII,5,Latin,iiiii
&#12296;:textus non legitur&#12297;,(Incomprehensible series of characters),Latin,
L A R,"LAR (or lar, the deity protecting the household)",Latin,l a r
IIXXXX&#803;X&#803;[+1?+]X&#803;XXxxx&#803;xxxXXXI,(series of numbers),Latin,iixxxx̣x̣1x̣xxxxx̣xxxxxxi
"Sumptus VIII
",Cost --- 8,Latin,"sumptus viii, "
"Ser &#12296;:vacat&#12297; L
Amoni (:Ammonium) &#12296;:vacat&#12297; LXXV
Vale &#12296;:vacat&#12297; XXV
V&#770;etio &#12296;:vacat&#12297; CL
Iulium &#12296;:vacat&#12297; LXXV
L(ucium) Plotium &#12296;:vacat&#12297; C
Sex &#12296;:vacat&#12297; L","Servilius 50
 Ammonius 75
 Valerius 25
 Vetius 150
 Julius 75
 Lucius Plotius 100
 Sextus 50",Latin,"ser l, ammonium lxxv, vale xxv, v̂etio cl, iulium lxxv, lucium plotium c, sex l"
"&#12296;:stria 15&#12297;
DP&#818;

&#12296;:stria 16&#12297;
A
A

&#12296;:stria 17&#12297;
B",(Individual letters),Latin,", dp̲, , , a, a, , , b"
CRVPPAC,(Incomprehensible series of letters),Latin,crvppac
"&#12296;:stria 7&#12297;
LX

&#12296;:stria 8&#12297;
XII
","60, 12",Latin,", lx, , , xii, "
"Auctus
Auctus 
Vectiga","Auctus, Auctus, (uncertain word)",Latin,"auctus, auctus , vectiga"
"Cerialis 
Euce (:Euche)",,Latin,"cerialis , euche"
"X
C
I
X","10, 100, 1, 10",Latin,"x, c, i, x"
"solus amare v[---]
multa opus sunt s[---]
quod neìsceìre (:nescire) dare [---]",,Latin,"solus amare vides, multa opus sunt sdare, quod nescire dare ."
VI &#12296;:vacat&#12297; XI &#12296;:vacat&#12297; VII,"6, 11, 7",Latin,vi xi vii
"PMIC+++RMA
VICCCM(?)",(Incomprehensible series of letters),Latin,"pmicrma, vicccm"
"Verus
A(sses) VI S(emis)
QVA
Verus
A(sses) III","Verus, 6 1/2 asses (coins), QUA (?), Verus, 3 asses (coins)",Latin,"verus, asses vi semis, qva, verus, asses iii"
"M(arcus) Titinius
cinaedus
L&#773;V&#773;","Marcus Titinius is a pervert, 55",Latin,"marcus titinius, cinaedus, l̅v̅"
"Primu (:Primus) 
AV (:ave) vale","Hi, bye, Primus",Latin,"primus , ave vale"
"Albanius
Comunis (:Communis)
&#12296;:vacat&#12297;
Aurelius
&#7750;oniu",Albanius Communis Aurelius Nonius,Latin,"albanius, communis, , aurelius, ṇoniu"
T[o]tus,Whole,Latin,totus
"&#12296;:ad perpendiculum&#12297;
+IRON
",(Incomprehensible series of characters),Latin,", iron, "
"&#12296;:stria 6&#12297;
X
 
&#12296;:stria 7&#12297;
MV
X
",(Individual letters),Latin,", x, , , mv, x, "
"&#12314;+++&#12315;o&#803;r bene
valeas qui bene futues",,Latin,"ọr bene, valeas qui bene futues"
"&#12296;:stria 15&#12297;
X
X
X

&#12296;:stria 16&#12297;
X","10, 10, 10, 10",Latin,", x, x, x, , , x"
"&#12296;:altitudinum variarum&#12297;

IRI        
B      
Mille(?)
Acan(thus)     
FLI
",(Individual letters),Latin,", , iri    , b   , mille, acanthus   , fli, "
Feliclâm (:Feliculam) ego hic futui{ì},,Latin,feliculam ego hic futui{ì}
"Ad miror (:admiror) paries
te non cecidise (:cecidisse) 
&#12296;:vacat&#12297; ruina [- - -]",,Latin,"ad admiror paries, te non cecidisse , ruina ."
Conticuere omnes,,Latin,conticuere omnes
"carminibus 
Circe socios 
mutavit 
Olyxis (:Ulixi)",,Latin,"carminibus , circe socios , mutavit , ulixi"
